50
394	193	1791	209	2223	1651	1861	1452	674	2377	844	2211	1978	280	1134	97	1108	840	246	321	2421	1048	1503	1120	1906	889	366	1626	2091	2068	2012	914	736	1211	884	1383	1078	298	1217	1644	1777	1792	247	362	1402	1249	1934	955	436	2096	
1768	1919	1511	1433	1453	1047	2292	1904	200	570	918	2330	2239	764	187	1557	1447	400	1661	2311	1971	268	837	1193	101	1787	1079	471	1346	526	1899	2384	1887	1972	1568	190	2234	139	2048	2443	2434	1974	1622	1872	2486	2250	2423	1062	1937	1992	
2078	1783	2454	1277	2105	241	1852	643	622	722	1482	232	906	2407	1630	548	865	1657	331	1648	678	39	2383	272	2362	1146	1632	2101	684	368	798	2150	180	1997	1487	255	998	1019	1233	878	303	1379	1565	592	1331	286	156	330	60	1941	
430	2461	1807	119	776	559	2174	451	1915	551	208	711	281	960	1313	210	971	2271	653	695	2350	769	560	2093	1481	742	2039	638	1533	2426	2029	431	962	542	2186	2104	1365	270	265	579	79	2064	2122	563	1436	941	124	895	148	2269	
1224	2487	2030	482	1182	1287	1938	1000	1307	349	498	1260	1684	1141	2442	56	30	1222	396	2447	1516	1429	151	2009	589	2124	1179	185	429	1815	789	1416	2270	1555	2066	1970	975	1099	1353	2353	236	1371	999	1456	796	1514	2216	2196	1396	2446	
792	146	1965	1033	481	760	1256	1901	160	892	2422	55	1321	956	2228	2480	406	112	1026	1877	2147	718	1668	2402	304	446	58	1677	1374	1894	398	2057	1199	1614	132	663	1886	81	1866	24	1411	1835	504	2008	936	2036	2318	2198	1361	626	
1339	630	946	2232	779	468	513	2146	2429	2027	839	1674	1869	762	2315	2459	2282	1501	848	1982	2299	1017	641	2359	724	274	220	2011	2131	2262	356	1472	2041	1586	1763	2329	921	2293	1604	1172	171	1528	1819	72	613	2243	1538	1464	407	896	
1524	1124	2177	13	1201	338	698	981	894	1158	1312	115	1310	893	1066	1074	2300	1968	342	1588	499	1860	514	786	1821	1637	991	1468	704	44	1096	1529	2071	90	2214	1747	874	40	33	2278	1878	834	3	885	2380	1522	1719	1973	2478	476	
1391	2233	712	967	1311	986	199	1715	532	2178	952	59	162	827	218	634	508	1367	2474	1891	1679	194	614	1883	1440	2457	954	1107	2170	1151	227	1864	1863	1186	581	1712	2348	2296	791	1507	1578	136	2255	969	381	1602	1700	114	2217	1118	
1410	1713	964	2433	1085	631	1415	27	6	99	1850	1911	1989	2357	1762	1917	359	775	2288	1150	771	2312	968	600	1136	2472	506	843	2363	1270	125	1724	1185	425	1546	1925	780	636	2302	2240	500	1990	957	2325	567	1382	1319	1432	533	1245	
116	2063	746	501	2054	1364	1421	949	942	916	1800	1400	1694	2191	260	1282	1042	1451	880	1581	1930	1023	1242	1721	285	1390	1690	1071	2331	2281	239	2424	1386	1649	562	1031	2024	1380	253	1593	1532	1286	433	973	1854	2493	1670	1840	322	1491	
966	66	1231	1874	1740	2111	1785	838	794	2483	2390	989	2065	1244	1274	1243	1912	1867	319	296	1494	1220	1999	1281	1369	388	1585	205	383	992	819	2152	681	420	1642	926	2098	627	1767	2381	642	409	2494	985	1173	364	1893	629	2049	2244	
1138	1144	872	515	2139	1147	671	2120	2338	237	262	2074	438	1149	497	123	1729	1192	2092	1942	1753	1306	492	5	1129	747	144	1094	2209	1477	1862	1300	2188	616	299	1944	1958	763	1143	93	2097	808	17	1809	2236	1855	2287	875	1480	1594	
100	1080	734	11	1757	2090	276	2034	1105	1675	1746	70	2337	2323	138	676	1727	2336	1534	584	1624	1829	289	1389	344	221	904	1317	2047	235	360	1257	2254	475	2355	311	1628	756	511	737	2135	1476	89	2376	439	1154	15	575	1953	375	
